ContractNumber,VendorName,ContractStartDate,ContractStopDate,NDCWithDashes,SubItemIdentifier,PackageDescription,Generic,TradeName,VAClass,Covered,PrimeVendor,Price,PriceStartDate,PriceStopDate,PriceType,Non-TAA
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0188-13,,30,"BUPRENORPHINE HCL 2MG/NALOXONE HCL 0.5MG TAB,SUBLINGUAL","BUPRENORPHINE HCL 2MG/NALOXONE HCL 0.5MG TAB,",CN101,F,T,45.27,07/18/2019,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0189-13,,30,"BUPRENORPHINE HCL82MG/NALOXONE HCL 2MG TAB,SUBLINGUAL","BUPRENORPHINE HCL 8MG/NALOXONE HCL 2MG TAB,",CN101,F,T,62.38,04/09/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0210-25,,100,PROTRIPTYLINE HCL 5MG TAB,PROTRIPTYLINE HCL 5MG TAB,CN601,F,T,105.15,10/21/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0278-03,,9,"NARATRIPTAN HCL 1MG TAB,UD","NARATRIPTAN HCL 1MG TAB,UD",CN105,F,T,97.50,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0279-03,,9,"NARATRIPTAN HCL 2.5MG TAB,UD","NARATRIPTAN HCL 2.5MG TAB,UD",CN105,F,T,97.50,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0357-25,,100,DISULFIRAM 500MG TAB,DISULFIRAM 500MG TAB,AD100,F,T,418.77,07/23/2021,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0390-63,,500ML,"OXYCODONE HCL 5MG/5ML SOLN,ORAL","OXYCODONE HCL 5MG/5ML SOLN,ORAL",CN101,F,T,16.50,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0400-13,,30,"DESVENLAFAXINE (EQV-PRISTIQ) 50MG TAB,SA","DESVENLAFAXINE (EQV-PRISTIQ) 50MG TAB,SA",CN609,F,T,8.28,03/03/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0400-22,,90,"DESVENLAFAXINE (EQV-PRISTIQ) 50MG TAB,SA","DESVENLAFAXINE (EQV-PRISTIQ) 50MG TAB,SA",CN609,F,T,53.98,03/03/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0401-13,,30,"DESVENLAFAXINE (EQV-PRISTIQ) 100MG TAB,SA","DESVENLAFAXINE (EQV-PRISTIQ) 100MG TAB,SA",CN609,F,T,12.42,03/03/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0401-22,,90,"DESVENLAFAXINE (EQV-PRISTIQ) 100MG TAB,SA","DESVENLAFAXINE (EQV-PRISTIQ) 100MG TAB,SA",CN609,F,T,63.13,03/03/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0470-21,,60,EVEROLIMUS 0.25MG TAB,EVEROLIMUS (IMMUNOSUPPRESSIVE) 0.25MG TAB,AN900,F,T,343.79,10/01/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0471-21,,60,EVEROLIMUS 0.5MG TAB,EVEROLIMUS (IMMUNOSUPPRESSIVE) 0.5MG TAB,AN900,F,T,720.75,10/01/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0472-21,,60,EVEROLIMUS 0.75MG TAB,EVEROLIMUS (IMMUNOSUPPRESSIVE) 0.75MG TAB,AN900,F,T,1076.48,10/01/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0479-21,,60,"DALFAMPRIDINE 10MG TAB,SA","DALFAMPRIDINE 10MG TAB,SA",MS900,F,T,190.00,07/18/2019,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0528-63,,460ML,"RUFINAMIDE 40MG/ML SUSP,ORAL","RUFINAMIDE 40MG/ML SUSP,ORAL",CN400,F,T,1061.24,02/19/2021,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0532-22,,90,"DROXIDOPA 100MG CAP,ORAL","DROXIDOPA 100MG CAP,ORAL",CV900,F,T,77.37,09/05/2021,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0533-22,,90,"DROXIDOPA 200MG CAP,ORAL","DROXIDOPA 200MG CAP,ORAL",CV900,F,T,154.70,09/05/2021,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0534-22,,90,"DROXIDOPA 300MG CAP,ORAL","DROXIDOPA 300MG CAP,ORAL",CV900,F,T,232.10,09/05/2021,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0603-13,,30,"DESVENLAFAXINE (EQV-PRISTIQ) 25MG TAB,SA","DESVENLAFAXINE (EQV-PRISTIQ) 25MG TAB,SA",CN609,F,T,13.85,03/03/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0622-63,,473ML,"DICYCLOMINE HCL 10MG/5ML SOLN, ORAL","DICYCLOMINE HCL 10MG/5ML SOLN, ORAL",AU350,F,T,99.84,09/23/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0639-05,,12,METHYLERGONOVINE MALEATE 0.2MG TAB,METHYLERGONOVINE MALEATE 0.2MG TAB,CN105,F,T,217.69,11/13/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0639-13,,28,METHYLERGONOVINE MALEATE 0.2MG TAB,METHYLERGONOVINE MALEATE 0.2MG TAB,CN105,F,T,507.94,11/13/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0710-20,,10X10,"METHADONE HCL 10MG TAB,UD","METHADONE HCL 10MG TAB,UD",CN101,F,T,16.08,07/23/2021,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-3117-63,,500ML,"CALCIUM CARBONATE 1250MG/5ML SUSP,ORAL","CALCIUM CARBONATE 1250MG/5ML SUSP,ORAL",TN420,F,T,8.75,10/21/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-3120-41,,15ML,"CALCITRIOL 1MCG/ML SOLN,ORAL","CALCITRIOL 1MCG/ML SOLN,ORAL",VT502,F,T,22.51,10/21/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-3176-44,,30ML,"DEXAMETHASONE 1MG/1ML SOLN,ORAL",DEXAMETHASONE INTENSOL,HS051,F,T,22.84,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-3177-63,,500ML,"DEXAMETHASONE 0.5MG/5ML SOLN,ORAL","DEXAMETHASONE 0.5MG/5ML SOLN,ORAL",HS051,F,T,15.14,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-3270-99,,16GM,"FLUTICASONE PROPIONATE 50MCG/SPRAY SOLN,NASAL,16GM","FLUTICASONE PROPIONATE 50MCG/SPRAY SOLN,NASAL",NT200,F,T,6.80,02/19/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-3294-46,,60ML,"FUROSEMIDE 10MG/ML SOLN,ORAL","FUROSEMIDE 10MG/ML SOLN,ORAL",CV700,F,T,6.24,10/21/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-3294-50,,120ML,"FUROSEMIDE 10MG/ML SOLN,ORAL","FUROSEMIDE 10MG/ML SOLN,ORAL",CV700,F,T,12.69,10/21/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-3505-47,,50ML,"LIDOCAINE HCL 4% SOLN,TOP","LIDOCAINE HCL 4% SOLN,TOP",NT300,F,T,29.21,11/11/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-3630-63,,500ML,"NAPROXEN 125MG/5ML SUSP,ORAL","NAPROXEN 125MG/5ML SUSP,ORAL",MS102,F,T,462.36,07/23/2021,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-3722-50,,120ML,"PREDNISONE 1MG/ML SOLN,ORAL","PREDNISONE 1MG/ML SOLN,ORAL",HS051,F,T,75.50,10/21/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-3722-63,,500ML,"PREDNISONE 1MG/ML SOLN,ORAL","PREDNISONE 1MG/ML SOLN,ORAL",HS051,F,T,309.50,10/21/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-3727-63,,500ML,"PROPRANOLOL HCL 20MG/5ML SOLN,ORAL","PROPRANOLOL HCL 20MG/5ML SOLN,ORAL",CV100,F,T,47.85,10/21/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-3730-63,,500ML,"PROPRANOLOL HCL 40MG/5ML SOLN,ORAL","PROPRANOLOL HCL 40MG/5ML SOLN,ORAL",CV100,F,T,68.59,10/21/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-4146-22,,70,CLOTRIMAZOLE 10MG TROCHE,CLOTRIMAZOLE 10MG TROCHE,NT900,F,T,12.02,09/17/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-4146-23,,140,CLOTRIMAZOLE 10MG TROCHE,CLOTRIMAZOLE 10MG TROCHE,NT900,F,T,25.27,07/26/2021,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-4179-25,,100,DEXAMETHASONE 0.5MG TAB,DEXAMETHASONE 0.5MG TAB,HS051,F,T,11.22,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-4180-25,,100,DEXAMETHASONE 0.75MG TAB,DEXAMETHASONE 0.75MG TAB,HS051,F,T,20.11,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-4181-25,,100,DEXAMETHASONE 1MG TAB,DEXAMETHASONE 1MG TAB,HS051,F,T,24.16,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-4182-25,,100,DEXAMETHASONE 1.5MG TAB,DEXAMETHASONE 1.5MG TAB,HS051,F,T,38.76,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-4183-25,,100,DEXAMETHASONE 2MG TAB,DEXAMETHASONE 2MG TAB,HS051,F,T,48.32,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-4186-25,,100,DEXAMETHASONE 6MG TAB,DEXAMETHASONE 6MG TAB,HS051,F,T,144.96,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-4496-25,,100,LEUCOVORIN CALCIUM 5MG TAB,LEUCOVORIN CALCIUM 5MG TAB,VT102,F,T,107.01,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-4499-11,,25,LEUCOVORIN CALCIUM 25MG TAB,LEUCOVORIN CALCIUM 25MG TAB,VT102,F,T,250.00,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-4581-11,,25,MERCAPTOPURINE 50MG TAB,MERCAPTOPURINE 50MG TAB,AN300,F,T,75.29,09/23/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-4581-27,,250,MERCAPTOPURINE 50MG TAB,MERCAPTOPURINE 50MG TAB,AN300,F,T,405.01,09/23/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-8174-25,,10X10,DEXAMETHASONE 1MG TAB,DEXAMETHASONE 1MG TAB UD,HS051,F,T,30.14,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-8175-25,,10X10,DEXAMETHASONE 4MG TAB,DEXAMETHASONE 4MG TAB UD,HS051,F,T,97.87,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-8176-25,,10X10,DEXAMETHASONE 2MG TAB,DEXAMETHASONE 2MG TAB UD,HS051,F,T,60.27,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-8179-25,,10X10,DEXAMETHASONE 0.5MG TAB,DEXAMETHASONE 0.5MG TAB UD,HS051,F,T,16.80,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-8183-25,,10X10,DEXAMETHASONE 6MG TAB,DEXAMETHASONE 6MG TAB UD,HS051,F,T,153.99,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-8301-25,,10X10,FUROSEMIDE 80MG TAB,FUROSEMIDE 80MG TAB,CV702,F,T,38.67,09/23/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-8724-25,,10X10,PREDNISONE 5MG TAB,PREDNISONE 5MG TAB,HS051,F,T,19.40,10/21/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-8739-25,,10X10,PREDNISONE 1MG TAB,PREDNISONE 1MG TAB,HS051,F,T,22.00,10/21/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00093-5537-56,,30,ESZOPICLONE 1MG TAB,ESZOPICLONE 1MG TAB,CN309,F,T,14.50,07/18/2019,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00093-5538-01,,100,ESZOPICLONE 2MG TAB,ESZOPICLONE 2MG TAB,CN309,F,T,41.01,07/18/2019,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00093-5539-01,,100,ESZOPICLONE 3MG TAB,ESZOPICLONE 3MG TAB,CN309,F,T,44.65,07/18/2019,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00121-0431-30,,100X30ML,"MILK OF MAGNESIA,30ML","MILK OF MAGNESIA,30ML",GA108,F,T,148.28,02/25/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00121-0489-00,,100X5ML,DIPHENHYDRAMINE HCL 12.5MG/5ML ELIXIR,DIPHENHYDRAMINE HCL 12.5MG/5ML ELIXIR,AH102,F,T,190.99,02/25/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00121-0504-00,,100X5ML,"CODEINE 12MG/ACETAMINOPHEN 120MG/5ML SOLN,ORAL","CODEINE 12MG/ACETAMINOPHEN 120MG/5ML SOLN,ORA",CN101,F,T,101.79,02/25/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00121-0504-04,,118ML,"CODEINE 12MG/ACETAMINOPHEN 120MG/5ML SOLN,ORAL","CODEINE 12MG/ACETAMINOPHEN 120MG/5ML SOLN,ORA",CN101,F,T,1.88,02/25/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00121-0504-16,,473ML,"CODEINE 12MG/ACETAMINOPHEN 120MG/5ML SOLN,ORAL","CODEINE 12MG/ACETAMINOPHEN 120MG/5ML SOLN,ORA",CN101,F,T,4.39,02/25/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00121-0527-10,,100X10ML,"MILK OF MAGNESIA,10ML","MILK OF MAGNESIA,10ML",GA108,F,T,181.78,02/25/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00121-0530-05,,100X5ML,"FERROUS SO4 300MG/5ML LIQUID,5ML","FERROUS SO4 300MG/5ML LIQUID,5ML",TN410,F,T,167.59,02/25/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00121-0544-10,,100X10ML,DOCUSATE NA 50MG/5ML LIQUID,DOCUSATE NA 50MG/5ML LIQUID,GA205,F,T,41.25,02/25/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00121-0576-16,,473ML,"METOCLOPRAMIDE HCL 5MG/5ML SOLN,ORAL","METOCLOPRAMIDE HCL 5MG/5ML SOLN,ORAL",AU300,F,T,14.29,02/25/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00121-0581-04,,118ML,"HALOPERIDOL 2MG/ML SOLN,ORAL","HALOPERIDOL 2MG/ML SOLN,ORAL",CN709,F,T,19.40,02/25/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00121-0581-05,,100X5ML,"HALOPERIDOL 2MG/ML SOLN,ORAL,5ML","HALOPERIDOL 2MG/ML SOLN,ORAL,5ML",CN709,F,T,218.06,02/25/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00121-0646-10,,100X10ML,"AMANTADINE HCL 50MG/5ML (SF) SYRUP,10ML","AMANTADINE HCL 50MG/5ML (SF) SYRUP,10ML",AM800,F,T,148.24,02/25/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00121-0646-16,,473ML,"AMANTADINE HCL 50MG/5ML (SF) SYRUP,10ML","AMANTADINE HCL 50MG/5ML (SF) SYRUP,10ML",AM800,F,T,5.89,02/25/2020,12/31/2022,FSS,Compliant
