Contract Number,Vendor Name,Contract Start Date,Contract Stop Date,NDC With Dashes,Sub Item Identifier,Package Description,Generic,Trade Name,VA Class,Covered,Prime Vendor,Price,Price Start Date,Price Stop Date,Price Type
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0500-10,No Data,100,"NISOLDIPINE 8.5MG TAB,SA","SULAR 8.5MG TAB,SA",CV200,T,T,947.05,01/01/2017,11/14/2017,Big4
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0500-10,No Data,100,"NISOLDIPINE 8.5MG TAB,SA","SULAR 8.5MG TAB,SA",CV200,T,T,947.05,01/01/2017,11/14/2017,FSS
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0501-10,No Data,100,"NISOLDIPINE 17MG TAB,SA","SULAR 17MG TAB,SA",CV200,T,T,947.05,01/01/2017,11/14/2017,Big4
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0501-10,No Data,100,"NISOLDIPINE 17MG TAB,SA","SULAR 17MG TAB,SA",CV200,T,T,947.05,01/01/2017,11/14/2017,FSS
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0503-10,No Data,100,"NISOLDIPINE 34MG TAB,SA","SULAR 34MG TAB,SA",CV200,T,T,947.05,01/01/2017,11/14/2017,Big4
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0503-10,No Data,100,"NISOLDIPINE 34MG TAB,SA","SULAR 34MG TAB,SA",CV200,T,T,947.05,01/01/2017,11/14/2017,FSS
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0580-90,No Data,90 UD,"OSPEMIFENE 60MG TAB,UD","OSPHENA 60MG TAB,UD",HS900,T,T,361.84,01/01/2017,11/14/2017,Big4
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0580-90,No Data,90 UD,"OSPEMIFENE 60MG TAB,UD","OSPHENA 60MG TAB,UD",HS900,T,T,459.17,01/01/2017,11/14/2017,FSS
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0750-50,No Data,500ML,"METHYLPHENIDATE HCL 5MG/5ML SOLN,ORAL",METHYLIN 5MG/5ML ORAL SOLN,CN802,T,T,66.87,01/01/2017,11/14/2017,Big4
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0750-50,No Data,500ML,"METHYLPHENIDATE HCL 5MG/5ML SOLN,ORAL",METHYLIN 5MG/5ML ORAL SOLN,CN802,T,T,66.87,01/01/2017,11/14/2017,FSS
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0755-50,No Data,500ML,"METHYLPHENIDATE HCL 10MG/5ML SOLN,ORAL",METHYLIN 10MG/5ML ORAL SOLN,CN802,T,T,95.54,01/01/2017,11/17/2017,Big4
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0755-50,No Data,500ML,"METHYLPHENIDATE HCL 10MG/5ML SOLN,ORAL",METHYLIN 10MG/5ML ORAL SOLN,CN802,T,T,95.54,01/01/2017,11/14/2017,FSS
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0760-10,No Data,100,"METHYLPHENIDATE HCL 2.5MG TAB,CHEW",METHYLIN 2.5MG CHEWABLE TAB,CN802,T,T,197.70,01/01/2017,11/14/2017,Big4
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0760-10,No Data,100,"METHYLPHENIDATE HCL 2.5MG TAB,CHEW",METHYLIN 2.5MG CHEWABLE TAB,CN802,T,T,279.40,01/01/2017,11/14/2017,FSS
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0761-10,No Data,100,"METHYLPHENIDATE HCL 5MG TAB,CHEW",METHYLIN 5MG CHEWABLE TAB,CN802,T,T,326.13,01/01/2017,11/14/2017,Big4
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0761-10,No Data,100,"METHYLPHENIDATE HCL 5MG TAB,CHEW",METHYLIN 5MG CHEWABLE TAB,CN802,T,T,399.10,01/01/2017,11/14/2017,FSS
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0762-10,No Data,100,"METHYLPHENIDATE HCL 10MG TAB,CHEW",METHYLIN 10MG CHEWABLE TAB,CN802,T,T,407.17,01/01/2017,11/14/2017,Big4
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0762-10,No Data,100,"METHYLPHENIDATE HCL 10MG TAB,CHEW",METHYLIN 10MG CHEWABLE TAB,CN802,T,T,568.95,01/01/2017,11/14/2017,FSS
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,00430-3020-17,No Data,120GM,"CALCIPOTRIENE 0.005% CREAM,TOP",DOVONEX 0.005% CREAM,DE802,T,T,314.94,01/01/2013,12/31/2017,Big4
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,00430-3020-17,No Data,120GM,"CALCIPOTRIENE 0.005% CREAM,TOP",DOVONEX 0.005% CREAM,DE802,T,T,717.07,01/01/2013,12/31/2017,FSS
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,00469-5201-11,No Data,100GM,"TACROLIMUS 0.03 OINT,TOP","PROTOPIC 0.03% OINT, TOP",DE280,T,T,335.57,01/01/2017,12/31/2017,Big4
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,00469-5201-11,No Data,100GM,"TACROLIMUS 0.03 OINT,TOP","PROTOPIC 0.03% OINT, TOP",DE280,T,T,570.05,01/01/2017,12/31/2017,FSS
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,00469-5201-30,No Data,30GM,"TACROLIMUS 0.03% OINT,TOP","PROTOPIC 0.03% OINT,TOP",DE280,T,T,100.12,01/01/2017,12/31/2017,Big4
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,00469-5201-30,No Data,30GM,"TACROLIMUS 0.03% OINT,TOP","PROTOPIC 0.03% OINT,TOP",DE280,T,T,171.02,01/01/2017,12/31/2017,FSS
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,00469-5201-60,No Data,60GM,"TACROLIMUS 0.03 OINT,TOP","PROTOPIC 0.03% OINT, TOP",DE280,T,T,202.21,01/01/2017,12/31/2017,Big4
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,00469-5201-60,No Data,60GM,"TACROLIMUS 0.03 OINT,TOP","PROTOPIC 0.03% OINT, TOP",DE280,T,T,342.03,01/01/2017,12/31/2017,FSS
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,00469-5202-11,No Data,100GM,"TACROLIMUS 0.1% OINT,TOP","PROTOPIC 0.1% OINT, TOP",DE280,T,T,339.37,01/01/2017,12/31/2017,Big4
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,00469-5202-11,No Data,100GM,"TACROLIMUS 0.1% OINT,TOP","PROTOPIC 0.1% OINT, TOP",DE280,T,T,570.05,01/01/2017,12/31/2017,FSS
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,00469-5202-30,No Data,30GM,"TACROLIMUS 0.1% OINT,TOP","PROTOPIC 0.1% OINT, TOP",DE280,T,T,100.18,01/01/2017,12/31/2017,Big4
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,00469-5202-30,No Data,30GM,"TACROLIMUS 0.1% OINT,TOP","PROTOPIC 0.1% OINT, TOP",DE280,T,T,171.02,01/01/2017,12/31/2017,FSS
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,00469-5202-60,No Data,60GM,"TACROLIMUS 0.1% OINT,TOP","PROTOPIC 0.1% OINT, TOP",DE280,T,T,201.82,01/01/2017,12/31/2017,Big4
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,00469-5202-60,No Data,60GM,"TACROLIMUS 0.1% OINT,TOP","PROTOPIC 0.1% OINT, TOP",DE280,T,T,342.03,01/01/2017,12/31/2017,FSS
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,50222-0227-04,No Data,60GM,"BETAMETHASONE DIPROPIONATE 0.064%/CALCIPOTRIENE 0.005% OINT,TOP",TACLONEX 0.064%/0.005% OINT,DE820,T,T,533.43,01/01/2017,12/31/2017,Big4
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,50222-0227-04,No Data,60GM,"BETAMETHASONE DIPROPIONATE 0.064%/CALCIPOTRIENE 0.005% OINT,TOP",TACLONEX 0.064%/0.005% OINT,DE820,T,T,533.43,01/01/2017,12/31/2017,FSS
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,50222-0227-81,No Data,100GM,"BETAMETHASONE DIPROPIONATE 0.064%/CALCIPOTRIENE 0.005% OINT,TOP",TACLONEX 0.064%/0.005% OINT,DE820,T,T,785.70,01/01/2017,12/31/2017,Big4
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,50222-0227-81,No Data,100GM,"BETAMETHASONE DIPROPIONATE 0.064%/CALCIPOTRIENE 0.005% OINT,TOP",TACLONEX 0.064%/0.005% OINT,DE820,T,T,785.70,01/01/2017,12/31/2017,FSS
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,50222-0260-06,No Data,60GM,"CALCIPOTRIENE 0.005% CREAM,TOP",DOVONEX 0.005% CREAM,DE802,T,T,376.86,01/01/2017,12/31/2017,Big4
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,50222-0260-06,No Data,60GM,"CALCIPOTRIENE 0.005% CREAM,TOP",DOVONEX 0.005% CREAM,DE802,T,T,376.86,01/01/2017,12/31/2017,FSS
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,50222-0260-12,No Data,120GM,"CALCIPOTRIENE 0.005% CREAM,TOP",DOVONEX 0.005% CREAM,DE802,T,T,720.67,01/01/2017,12/31/2017,Big4
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,50222-0260-12,No Data,120GM,"CALCIPOTRIENE 0.005% CREAM,TOP",DOVONEX 0.005% CREAM,DE802,T,T,720.67,01/01/2017,12/31/2017,FSS
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,50222-0501-06,No Data,60GM,"BETAMETHASONE DIPROPIONATE 0.064%/CALCIPOTRIENE 0.005% SUSP,TOP",TACLONEX TOPICAL SUSPENSION,DE200,T,T,527.73,01/01/2017,12/31/2017,Big4
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,50222-0501-06,No Data,60GM,"BETAMETHASONE DIPROPIONATE 0.064%/CALCIPOTRIENE 0.005% SUSP,TOP",TACLONEX TOPICAL SUSPENSION,DE200,T,T,533.43,01/01/2017,12/31/2017,FSS
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,50222-0501-66,No Data,120ML,"BETAMETHASONE DIPROPIONATE 0.064%/CALCIPOTRIENE 0.005% SUSP,TOP",TALCLONEX SCALP TOPICAL SUSPENSION,DE820,T,T,1047.12,01/01/2017,12/31/2017,Big4
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,50222-0501-66,No Data,120ML,"BETAMETHASONE DIPROPIONATE 0.064%/CALCIPOTRIENE 0.005% SUSP,TOP",TALCLONEX SCALP TOPICAL SUSPENSION,DE820,T,T,1186.44,01/01/2017,12/31/2017,FSS
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,50222-0502-47,No Data,3X47GM,"INGENOL MEBUTATE 0.015% GEL,TOP",PICATO GEL 0.015%,DE600,T,T,524.05,01/01/2017,12/31/2017,Big4
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,50222-0502-47,No Data,3X47GM,"INGENOL MEBUTATE 0.015% GEL,TOP",PICATO GEL 0.015%,DE600,T,T,566.15,01/01/2017,12/31/2017,FSS
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,50222-0503-47,No Data,2X47GM,"INGENOL MEBUTATE 0.05% GEL,TOP",PICATO GEL 0.05%,DE600,T,T,523.11,01/01/2017,12/31/2017,Big4
V797D-30013,"LEO Pharma, Inc.",01/01/2013,12/31/2017,50222-0503-47,No Data,2X47GM,"INGENOL MEBUTATE 0.05% GEL,TOP",PICATO GEL 0.05%,DE600,T,T,566.15,01/01/2017,12/31/2017,FSS
V797D-30015,Alexion Pharmaceuticals Inc.,11/15/2012,11/14/2017,25682-0001-01,No Data,1X30ML,"ECULIZUMAB 10MG/ML INJ,SOLN",SOLIRIS 10MG/ML 30ML VIAL,BL500,T,T,4631.98,01/01/2017,11/14/2017,Big4
V797D-30015,Alexion Pharmaceuticals Inc.,11/15/2012,11/14/2017,25682-0001-01,No Data,1X30ML,"ECULIZUMAB 10MG/ML INJ,SOLN",SOLIRIS 10MG/ML 30ML VIAL,BL500,T,T,5926.72,01/01/2017,11/14/2017,FSS
V797D-30015,Alexion Pharmaceuticals Inc.,11/15/2012,11/14/2017,25682-0007-01,No Data,10ML,"SEBELIPASE ALFA 2MG/ML INJ,10ML",KANUMA 20MG/10ML,CV350,T,F,7638.19,09/26/2016,11/14/2017,FSS
V797D-30015,Alexion Pharmaceuticals Inc.,11/15/2012,11/14/2017,25682-0010-12,No Data,12X0.45ML,"ASFOTASE ALFA 40MG/ML INJ,VIL,0.45ML (18MG)",STRENSIQ 18MG/0.45ML,HS900,T,F,11548.94,09/27/2016,11/14/2017,Big4
V797D-30015,Alexion Pharmaceuticals Inc.,11/15/2012,11/14/2017,25682-0010-12,No Data,12X0.45ML,"ASFOTASE ALFA 40MG/ML INJ,VIL,0.45ML (18MG)",STRENSIQ 18MG/0.45ML,HS900,T,F,14892.06,09/27/2016,11/14/2017,FSS
V797D-30015,Alexion Pharmaceuticals Inc.,11/15/2012,11/14/2017,25682-0013-12,No Data,12X0.7ML,"ASFOTASE ALFA 40MG/ML INJ,VIL,0.7ML (28MG)",STRENSIQ 28MG/0.7ML,HS900,T,F,17750.88,09/27/2016,11/14/2017,Big4
V797D-30015,Alexion Pharmaceuticals Inc.,11/15/2012,11/14/2017,25682-0013-12,No Data,12X0.7ML,"ASFOTASE ALFA 40MG/ML INJ,VIL,0.7ML (28MG)",STRENSIQ 28MG/0.7ML,HS900,T,F,23165.43,09/27/2016,11/14/2017,FSS
V797D-30015,Alexion Pharmaceuticals Inc.,11/15/2012,11/14/2017,25682-0016-12,No Data,12X1ML,"ASFOTASE ALFA 40MG/ML INJ,VIL,1ML",STRENSIQ 40MG/1ML,HS900,T,F,24971.39,09/27/2016,11/14/2017,Big4
V797D-30015,Alexion Pharmaceuticals Inc.,11/15/2012,11/14/2017,25682-0016-12,No Data,12X1ML,"ASFOTASE ALFA 40MG/ML INJ,VIL,1ML",STRENSIQ 40MG/1ML,HS900,T,F,33093.47,09/27/2016,11/14/2017,FSS
V797D-30015,Alexion Pharmaceuticals Inc.,11/15/2012,11/14/2017,25682-0019-12,No Data,12X0.8ML,"ASFOTASE ALFA 100MG/ML INJ,VIL,0.8ML (80MG)",STRENSIQ 80MG/0.8ML,HS900,T,F,49219.30,09/27/2016,11/14/2017,Big4
V797D-30015,Alexion Pharmaceuticals Inc.,11/15/2012,11/14/2017,25682-0019-12,No Data,12X0.8ML,"ASFOTASE ALFA 100MG/ML INJ,VIL,0.8ML (80MG)",STRENSIQ 80MG/0.8ML,HS900,T,F,66186.93,09/27/2016,11/14/2017,FSS
V797D-30020,"County Line Pharmaceuticals, LLC",11/01/2012,10/31/2017,43199-0011-01,No Data,100,"HYOSCYAMINE SO4 0.125MG TAB,SUBLINGUAL","HYOSCYAMINE SO4 0.125MG TAB,SUBLINGUAL",AU350,F,T,20.10,11/01/2012,10/31/2017,FSS
V797D-30020,"County Line Pharmaceuticals, LLC",11/01/2012,10/31/2017,43199-0012-01,No Data,100,"HYOSCYAMINE SO4 0.125MG TAB,ORAL DISINTEGRATING","HYOSCYAMINE SO4 0.125MG TAB,ORAL DISINTEGRATI",AU350,F,T,20.10,11/01/2012,10/31/2017,FSS
V797D-30020,"County Line Pharmaceuticals, LLC",11/01/2012,10/31/2017,43199-0013-01,No Data,100,HYOSCYAMINE SO4 0.125MG TAB,HYOSCYAMINE SO4 0.125MG TAB,AU350,F,T,20.10,11/01/2012,10/31/2017,FSS
V797D-30020,"County Line Pharmaceuticals, LLC",11/01/2012,10/31/2017,43199-0015-60,No Data,60ML,"ERGOCALCIFEROL 8000UNT/ML DROPS,ORAL","ERGOCALCIFEROL 8000UNT/ML DROPS,ORAL",VT504,F,T,25.13,11/01/2012,10/31/2017,FSS
V797D-30020,"County Line Pharmaceuticals, LLC",11/01/2012,10/31/2017,43199-0020-01,No Data,100,METHENAMINE HIPPURATE 1GM TAB,METHENAMINE HIPPURATE 1GM TAB,AM550,T,T,65.69,01/01/2017,10/31/2017,FSS
V797D-30020,"County Line Pharmaceuticals, LLC",11/01/2012,10/31/2017,43199-0031-20,No Data,20ml,"FLUOCINONIDE 0.05% SOLN,TOP","FLUOCINONIDE 0.05% SOLN,TOP",DE200,T,T,22.60,01/01/2017,10/31/2017,FSS
V797D-30020,"County Line Pharmaceuticals, LLC",11/01/2012,10/31/2017,43199-0031-60,No Data,60ML,"FLUOCINONIDE 0.05% SOLN,TOP","FLUOCINONIDE 0.05% SOLN,TOP",DE200,T,T,35.54,01/01/2017,10/31/2017,FSS
V797D-30020,"County Line Pharmaceuticals, LLC",11/01/2012,10/31/2017,43199-0037-01,No Data,100,LABETALOL HCL 100MG TAB,LABETALOL HCL 100MG TAB,CV100,T,T,14.06,01/01/2017,10/31/2017,FSS
V797D-30020,"County Line Pharmaceuticals, LLC",11/01/2012,10/31/2017,43199-0037-05,No Data,500,LABETALOL HCL 100MG TAB,LABETALOL HCL 100MG TAB,CV100,T,T,37.76,01/01/2017,10/31/2017,FSS
V797D-30020,"County Line Pharmaceuticals, LLC",11/01/2012,10/31/2017,43199-0038-01,No Data,100,LABETALOL HCL 200MG TAB,LABETALOL HCL 200MG TAB,CV100,T,T,19.16,01/01/2017,10/31/2017,FSS
V797D-30020,"County Line Pharmaceuticals, LLC",11/01/2012,10/31/2017,43199-0038-05,No Data,500,LABETALOL HCL 200MG TAB,LABETALOL HCL 200MG TAB,CV100,T,T,70.85,01/01/2017,10/31/2017,FSS
V797D-30020,"County Line Pharmaceuticals, LLC",11/01/2012,10/31/2017,43199-0039-01,No Data,100,LABETALOL HCL 300MG TAB,LABETALOL HCL 300MG TAB,CV100,T,T,28.06,01/01/2017,10/31/2017,FSS
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0005-31,No Data,3X28,"ESTROSTEP FE TAB,28","ESTROSTEP FE TAB,28",HS200,T,T,256.86,01/01/2017,12/31/2017,Big4
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0005-31,No Data,3X28,"ESTROSTEP FE TAB,28","ESTROSTEP FE TAB,28",HS200,T,T,290.23,01/01/2017,12/31/2017,FSS
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0010-05,No Data,5X28,"FEMCON FE TAB,CHEWABLE,28",FEMCON FE,HS200,T,T,373.06,01/01/2017,12/31/2017,Big4
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0010-05,No Data,5X28,"FEMCON FE TAB,CHEWABLE,28",FEMCON FE,HS200,T,T,421.58,01/01/2017,12/31/2017,FSS
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0115-20,No Data,60,"DOXYCYCLINE HYCLATE 150MG TAB,EC",DORYX 150MG DR TAB,AM250,T,T,758.56,01/01/2017,12/31/2017,Big4
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0115-20,No Data,60,"DOXYCYCLINE HYCLATE 150MG TAB,EC",DORYX 150MG DR TAB,AM250,T,T,1072.15,01/01/2017,12/31/2017,FSS
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0145-14,No Data,5X28,"FEMHRT LO 0.5/2.5 TAB,28",FEMHRT 1MG/5MCG TAB,HS900,T,T,357.07,01/01/2017,12/31/2017,Big4
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0145-14,No Data,5X28,"FEMHRT LO 0.5/2.5 TAB,28",FEMHRT 1MG/5MCG TAB,HS900,T,T,380.33,01/01/2017,12/31/2017,FSS
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0170-15,No Data,30,"DARIFENACIN 7.5MG TAB,SA",ENABLEX 7.5MG ER TAB,GU201,T,T,162.52,01/01/2017,12/31/2017,Big4
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0170-15,No Data,30,"DARIFENACIN 7.5MG TAB,SA",ENABLEX 7.5MG ER TAB,GU201,T,T,173.46,01/01/2017,12/31/2017,FSS
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0170-23,No Data,90,"DARIFENACIN 7.5MG TAB,SA",ENABLEX 7.5MG ER TAB,GU201,T,T,486.88,01/01/2017,12/31/2017,Big4
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0170-23,No Data,90,"DARIFENACIN 7.5MG TAB,SA",ENABLEX 7.5MG ER TAB,GU201,T,T,520.36,01/01/2017,12/31/2017,FSS
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0171-15,No Data,30,"DARIFENACIN 15MG TAB,SA",ENABLEX 15MG ER TAB,GU201,T,T,162.36,01/01/2017,12/31/2017,Big4
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0171-15,No Data,30,"DARIFENACIN 15MG TAB,SA",ENABLEX 15MG ER TAB,GU201,T,T,173.46,01/01/2017,12/31/2017,FSS
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0171-23,No Data,90,"DARIFENACIN 15MG TAB,SA",ENABLEX 15MG ER TAB,GU201,T,T,491.13,01/01/2017,12/31/2017,Big4
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0171-23,No Data,90,"DARIFENACIN 15MG TAB,SA",ENABLEX 15MG ER TAB,GU201,T,T,520.36,01/01/2017,12/31/2017,FSS
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0210-14,No Data,28UD,FLUOXETINE HCL 10MG TAB,SARAFEM 10MG CAP 4X7,CN609,T,T,259.18,01/01/2017,12/31/2017,Big4
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0210-14,No Data,28UD,FLUOXETINE HCL 10MG TAB,SARAFEM 10MG CAP 4X7,CN609,T,T,259.18,01/01/2017,12/31/2017,FSS
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0220-14,No Data,28UD,FLUOXETINE HCL 20MG TAB,SARAFEM 20MG CAP 4X7,CN609,T,T,255.45,01/01/2017,12/31/2017,Big4
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0220-14,No Data,28UD,FLUOXETINE HCL 20MG TAB,SARAFEM 20MG CAP 4X7,CN609,T,T,259.18,01/01/2017,12/31/2017,FSS
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0420-14,No Data,140,LO LOESTRIN FE TAB        5X28,"LOLOESTRIN 24, 10MG TABLETS",HS200,T,T,349.72,01/01/2017,12/31/2017,Big4
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0420-14,No Data,140,LO LOESTRIN FE TAB        5X28,"LOLOESTRIN 24, 10MG TABLETS",HS200,T,T,401.88,01/01/2017,12/31/2017,FSS
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0470-15,No Data,30,RISEDRONATE NA 30MG TAB,ACTONEL 30MG TAB,HS900,T,T,1046.37,01/01/2017,12/31/2017,Big4
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0470-15,No Data,30,RISEDRONATE NA 30MG TAB,ACTONEL 30MG TAB,HS900,T,T,1046.37,01/01/2017,12/31/2017,FSS
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0471-15,No Data,30,RISEDRONATE NA 5MG TAB,ACTONEL 5MG TAB,HS900,T,T,149.48,01/01/2017,12/31/2017,Big4
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0471-15,No Data,30,RISEDRONATE NA 5MG TAB,ACTONEL 5MG TAB,HS900,T,T,149.48,01/01/2017,12/31/2017,FSS
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0472-03,No Data,4,RISEDRONATE NA 35MG TAB,ACTONEL 35MG TAB,HS900,T,T,139.53,01/01/2017,12/31/2017,Big4
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0472-03,No Data,4,RISEDRONATE NA 35MG TAB,ACTONEL 35MG TAB,HS900,T,T,139.53,01/01/2017,12/31/2017,FSS
V797D-30028,"Warner Chilcott (US), LLC",01/01/2013,12/31/2017,00430-0472-07,No Data,12,RISEDRONATE NA 35MG TAB,ACTONEL 35MG TAB,HS900,T,T,418.54,01/01/2017,12/31/2017,Big4
